Authors,Title,Year,Source title,Volume,Page start,Page end,DOI,Link,Author Keywords,Index Keywords,Source
"Salas-Zapata W.A., Ríos-Osorio L.A., Cardona-Arias J.A.",Methodological characteristics of sustainability science: a systematic review,2017,"Environment, Development and Sustainability",19,1127,1140,10.1007/s10668-016-9801-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965079022&doi=10.1007%2fs10668-016-9801-z&partnerID=40&md5=22aea77296676538ecd8e7fd8d0a42f2,Epistemology; Methodology; Paradigm; Principles; Sustainability science,interdisciplinary approach; learning; methodology; participatory approach; research program; sustainability,Scopus
"Hermans M., Korhonen J.","Ninth graders and climate change: Attitudes towards consequences, views on mitigation, and predictors of willingness to act",2017,International Research in Geographical and Environmental Education,26,223,239,10.1080/10382046.2017.1330035,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019246539&doi=10.1080%2f10382046.2017.1330035&partnerID=40&md5=26aeeae996a2a1447fa0871f5d36c799,"climate change education, environmental education; geography; global warming; Students; sustainable development",adaptive management; attitudinal survey; climate change; climate effect; environmental issue; global warming; participatory approach; perception; prediction; questionnaire survey; student; sustainable development; Finland,Scopus
"Jackson L., Pang M.-F.",Secondary school students' views of climate change in Hong Kong,2017,International Research in Geographical and Environmental Education,26,180,192,10.1080/10382046.2017.1330036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019178452&doi=10.1080%2f10382046.2017.1330036&partnerID=40&md5=03602ab6a34cd88ffeb6756de592bb6d,climate change; Climate change education; environmental attitudes; Hong Kong; secondary schooling,attitudinal survey; climate change; environmental education; environmental issue; perception; public attitude; qualitative analysis; student; China; Hong Kong,Scopus
"Bush D., Sieber R., Seiler G., Chandler M.",University-level teaching of Anthropogenic Global Climate Change (AGCC) via student inquiry,2017,Studies in Science Education,53,113,136,10.1080/03057267.2017.1319632,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018176229&doi=10.1080%2f03057267.2017.1319632&partnerID=40&md5=bd2c11931e105ccf503c51a2eff8d3be,anthropogenic global climate change; Inquiry teaching; university level,,Scopus
"McNeal P., Petcovic H., Reeves P.",What is motivating middle-school science teachers to teach climate change?*,2017,International Journal of Science Education,39,1069,1088,10.1080/09500693.2017.1315466,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017624218&doi=10.1080%2f09500693.2017.1315466&partnerID=40&md5=e0b2da4fd99ab9aa0bf0b328fd749eea,K-12; Motivation,,Scopus
"Herman B.C., Feldman A., Vernaza-Hernandez V.",Florida and Puerto Rico Secondary Science Teachers’ Knowledge and Teaching of Climate Change Science,2017,International Journal of Science and Mathematics Education,15,451,471,10.1007/s10763-015-9706-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948137092&doi=10.1007%2fs10763-015-9706-6&partnerID=40&md5=1f88ef9d43665b40a1d097df30d9814b,Climate change education; Nature of science; Science teacher education; Secondary school science,,Scopus
"Halim M., Saat R.M.",Exploring students’ understanding in making a decision on a socioscientific issue using a persuasive graphic organiser,2017,Journal of Baltic Science Education,16,813,824,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032590019&partnerID=40&md5=94130c840dd26a9c8ac948760c422779,Decision-making; Persuasive graphic organiser; Socioscientific issues; Understanding of scientific concepts,,Scopus
"Lewis E., Lu J.",A case of fragmented high school earth and space science education in the great plains: Tracing teacher certification policy to students’ access,2017,Journal of Geoscience Education,65,304,321,10.5408/17-253.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027034585&doi=10.5408%2f17-253.1&partnerID=40&md5=4479f5b63b36b3683cecfbd530ad1911,Earth and space science education; Science teacher endorsement; Secondary science; State science teacher licensing policies,Earth science; secondary education; student; teacher training; Great Plains,Scopus
"de Kraker J., Dlouhá J., Machackova Henderson L., Kapitulcinová D.",The European virtual seminar on sustainable development as an opportunity for staff ESD competence development within university curricula,2017,International Journal of Sustainability in Higher Education,18,758,771,10.1108/IJSHE-03-2016-0040,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023642976&doi=10.1108%2fIJSHE-03-2016-0040&partnerID=40&md5=e92f8bb4f327bd268790d244ecb3a9b0,Competences; ESD; Higher education; Professional development; Virtual seminar,,Scopus
"Meyer J., Mader M., Zimmermann F., Çabiri K.",Training sessions fostering transdisciplinary collaboration for sustainable development: Albania and Kosovo case studies,2017,International Journal of Sustainability in Higher Education,18,738,757,10.1108/IJSHE-02-2016-0032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023637934&doi=10.1108%2fIJSHE-02-2016-0032&partnerID=40&md5=c511411cd6ffe0a6f6724448e82ea9aa,Albania/Kosovo; Competences; Education for sustainable development; Professional development; Scaling-up; Transdisciplinary collaboration,,Scopus
"Mulà I., Tilbury D., Ryan A., Mader M., Dlouhá J., Mader C., Benayas J., Dlouhý J., Alba D.",Catalysing Change in Higher Education for Sustainable Development: A review of professional development initiatives for university educators,2017,International Journal of Sustainability in Higher Education,18,798,820,10.1108/IJSHE-03-2017-0043,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023615284&doi=10.1108%2fIJSHE-03-2017-0043&partnerID=40&md5=39b4433c7af7a21c6bc36ead917eb528,Curriculum change; Education for Sustainable Development; Higher education; Professional development; University educators,,Scopus
"Garcia M.R., Junyent M., Fonolleda M.",How to assess professional competencies in Education for Sustainability?: An approach from a perspective of complexity,2017,International Journal of Sustainability in Higher Education,18,772,797,10.1108/IJSHE-03-2016-0055,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023597920&doi=10.1108%2fIJSHE-03-2016-0055&partnerID=40&md5=567291fc217421511e9a3ed6f9acf3f3,Assessment; Complexity; Education for sustainability; Professional competencies; Rubric,,Scopus
Pihkala P.,Environmental education after sustainability: Hope in the midst of tragedy,2017,Global Discourse,7,109,127,10.1080/23269995.2017.1300412,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019626174&doi=10.1080%2f23269995.2017.1300412&partnerID=40&md5=b4fd0676438f6f02c4d23c4387c175a1,Conservation psychology; Ecopsychology; Education for sustainable development; Environmental education; Environmental ethics; Hope and optimism; Sustainability education; Tragedy,,Scopus
"Hokayem H., Gotwals A.W.",Early elementary students’ understanding of complex ecosystems: A learning progression approach,2016,Journal of Research in Science Teaching,53,1524,1545,10.1002/tea.21336,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978677654&doi=10.1002%2ftea.21336&partnerID=40&md5=41067654dbf2679a77998ca36553b17a,ecosystems; learning progressions; systemic reasoning,Biodiversity; Ecosystems; Education; Global warming; Students; Teaching; Complex ecosystems; Elementary students; Environmental issues; Learning progressions; Practical reasoning; Reasoning patterns; Semi structured interviews; Systemic reasoning; Ecology,Scopus
"Seow T., Ho L.-C.",Singapore teachers’ beliefs about the purpose of climate change education and student readiness to handle controversy,2016,International Research in Geographical and Environmental Education,25,358,371,10.1080/10382046.2016.1207993,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979007768&doi=10.1080%2f10382046.2016.1207993&partnerID=40&md5=d373c5a60bdc03856e25220da61b0c17,academic differentiation; Climate change education; controversial issues; teacher education,climate change; environmental education; perception; qualitative analysis; student; teaching; Singapore [Southeast Asia],Scopus
"Bowers A.W., Monroe M.C., Adams D.C.",Climate change communication insights from cooperative Extension professionals in the US Southern states: finding common ground,2016,Environmental Communication,10,656,670,10.1080/17524032.2016.1176947,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971601978&doi=10.1080%2f17524032.2016.1176947&partnerID=40&md5=13589508f6feddf5aa29137b4400e941,adaptation; Climate change education; climate communication; qualitative research; Six Americas,,Scopus
Bedford D.,Does Climate Literacy Matter? A Case Study of U.S. Students’ Level of Concern about Anthropogenic Global Warming,2016,Journal of Geography,115,187,197,10.1080/00221341.2015.1105851,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947906075&doi=10.1080%2f00221341.2015.1105851&partnerID=40&md5=9a5f2e7d68129ab673da7fba11a17271,climate literacy; global warming; opinions,anthropogenic effect; attitudinal survey; educational development; environmental education; global warming; higher education; human geography; literacy; perception; public attitude; student; United States,Scopus
"Grady-Benson J., Sarathy B.",Fossil fuel divestment in US higher education: student-led organising for climate justice,2016,Local Environment,21,661,681,10.1080/13549839.2015.1009825,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922963056&doi=10.1080%2f13549839.2015.1009825&partnerID=40&md5=aaeb91fd15faff4b060b835b178bc519,climate justice; environmental justice; fossil fuel divestment; student movements; sustainability in higher education,climate change; collective action; energy market; fossil fuel; higher education; industrial investment; social justice; social movement; student; sustainability; United States,Scopus
"Hornsey M.J., Harris E.A., Bain P.G., Fielding K.S.",Meta-analyses of the determinants and outcomes of belief in climate change,2016,Nature Climate Change,6,622,626,10.1038/nclimate2943,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971273067&doi=10.1038%2fnclimate2943&partnerID=40&md5=4c1b0c60dc8af121027a6f7adf6a0a2c,,climate change; growth rate; meta-analysis; nature-society relations; policy making,Scopus
"Arya D., Maul A.","The building of knowledge, language, and decision-making about climate change science: a cross-national program for secondary students",2016,International Journal of Science Education,38,885,904,10.1080/09500693.2016.1170227,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965067261&doi=10.1080%2f09500693.2016.1170227&partnerID=40&md5=ef707f34b147a7e8b1c85ed8c73267a8,academic language; Climate change science; evidence-based reasoning; new literacies,,Scopus
"Shea N.A., Mouza C., Drewes A.","Climate Change Professional Development: Design, Implementation, and Initial Outcomes on Teacher Learning, Practice, and Student Beliefs",2016,Journal of Science Teacher Education,27,235,258,10.1007/s10972-016-9456-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966526077&doi=10.1007%2fs10972-016-9456-5&partnerID=40&md5=db7500ead02359e1e83fc2f0fc861b60,Climate change; Next generation science standards; Student beliefs; Teacher knowledge; Teacher professional development,,Scopus
"Tasquier G., Levrini O., Dillon J.",Exploring students’ epistemological knowledge of models and modelling in science: results from a teaching/learning experience on climate change,2016,International Journal of Science Education,38,539,563,10.1080/09500693.2016.1148828,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961210190&doi=10.1080%2f09500693.2016.1148828&partnerID=40&md5=58311f392f34ccd464e72465baba5122,climate change; epistemology; models and modelling in science; Science education; secondary-school students,,Scopus
"Chang C.-H., Pascua L.",Singapore students' misconceptions of climate change,2016,International Research in Geographical and Environmental Education,25,84,96,10.1080/10382046.2015.1106206,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928592766&doi=10.1080%2f10382046.2015.1106206&partnerID=40&md5=e65dfa541daf195e736d783f32cb9b29,climate change; Geography education; mental models; misconceptions; Singapore,climate change; conceptual framework; education; geographical knowledge; human geography; mental health; nature-society relations; perception; questionnaire survey; student; Singapore [Singapore (NTN)]; Singapore [Southeast Asia],Scopus
"Stevenson K., Peterson N.",Motivating action through fostering climate change hope and concern and avoiding despair among adolescents,2016,Sustainability (Switzerland),8,1,10,10.3390/su8010006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956701449&doi=10.3390%2fsu8010006&partnerID=40&md5=6c4082268be06ffef30667649bc31cd7,Climate action; Climate literacy; Concern; Hope; Pro-environmental behavior,adolescence; antecedent conditions; climate change; human behavior; literacy; socioeconomic status; young population; North Carolina; United States,Scopus
"Haddaway N.R., Woodcock P., Macura B., Collins A.",Making literature reviews more reliable through application of lessons from systematic reviews,2015,Conservation Biology,29,1596,1605,10.1111/cobi.12541,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955195002&doi=10.1111%2fcobi.12541&partnerID=40&md5=c47169f66651e799799b1c6adb014837,Evidence assessments; Evidence reviews; Meta-analysis; Rapid assessments; Rapid reviews,assessment method; conservation management; feasibility study; literature review; meta-analysis; reliability analysis; resource allocation; strategic approach; theoretical study; environmental protection; literature; procedures; Conservation of Natural Resources; Review Literature as Topic,Scopus
"Libarkin J.C., Thomas S.R., Ording G.",Factor Analysis of Drawings: Application to college student models of the greenhouse effect,2015,International Journal of Science Education,37,2214,2236,10.1080/09500693.2015.1074757,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940786472&doi=10.1080%2f09500693.2015.1074757&partnerID=40&md5=bbd388c9145bb195a2420fc088d12699,Alternative conceptions; Climate change; Drawings; Factor analysis; University,,Scopus
"Huxster J.K., Uribe-Zarain X., Kempton W.",Undergraduate Understanding of Climate Change: The Influences of College Major and Environmental Group Membership on Survey Knowledge Scores,2015,Journal of Environmental Education,46,149,165,10.1080/00958964.2015.1021661,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935098545&doi=10.1080%2f00958964.2015.1021661&partnerID=40&md5=244d8419e86f6ee12725f6b51d825955,climate change; mental models; public understanding of science; science literacy,,Scopus
"Karpudewan M., Roth W.-M., Chandrakesan K.",Remediating misconception on climate change among secondary school students in Malaysia,2015,Environmental Education Research,21,631,648,10.1080/13504622.2014.891004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926951637&doi=10.1080%2f13504622.2014.891004&partnerID=40&md5=f0c7080b9984c659f4d6963512212d9c,biology curriculum; climate change; remediating misconception; secondary school,,Scopus
"Prokopy L.S., Carlton J.S., Arbuckle J.G., Jr., Haigh T., Lemos M.C., Mase A.S., Babin N., Dunn M., Andresen J., Angel J., Hart C., Power R.",Extension′s role in disseminating information about climate change to agricultural stakeholders in the United States,2015,Climatic Change,130,261,272,10.1007/s10584-015-1339-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939990181&doi=10.1007%2fs10584-015-1339-9&partnerID=40&md5=5a38cfcb29733d3b52be837fcea7763f,,Agriculture; Budget control; Education; Information dissemination; Surveys; Changing climate; Climate change adaptation; Crop productivity; Nebraska; Private information providers; Production agriculture; Rural community; Training process; Climate change,Scopus
"McKenzie M., Bieler A., McNeil R.",Education policy mobility: reimagining sustainability in neoliberal times,2015,Environmental Education Research,21,319,337,10.1080/13504622.2014.993934,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937218614&doi=10.1080%2f13504622.2014.993934&partnerID=40&md5=eff5db747563fbd20cf9fa12617bff65,education policy; higher education; neoliberalism; policy analysis; policy mobility; post-secondary education; sustainability education; vehicular ideas,,Scopus
Stapleton S.R.,"Environmental identity development through social interactions, action, and recognition",2015,Journal of Environmental Education,46,94,113,10.1080/00958964.2014.1000813,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927556235&doi=10.1080%2f00958964.2014.1000813&partnerID=40&md5=3f10c444511809406ea6568c696fdd3d,diversity; environmental identity; global education; high school; qualitative,,Scopus
"Pallant A., Lee H.-S.",Constructing Scientific Arguments Using Evidence from Dynamic Computational Climate Models,2015,Journal of Science Education and Technology,24,378,395,10.1007/s10956-014-9499-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939872112&doi=10.1007%2fs10956-014-9499-3&partnerID=40&md5=52485cfdb10b90c9f3601a8e6189e572,"Argumentation; Computational modeling, Earth systems, climate change; Instructional technology; Online learning",,Scopus
"Visintainer T., Linn M.",Sixth-Grade Students’ Progress in Understanding the Mechanisms of Global Climate Change,2015,Journal of Science Education and Technology,24,287,310,10.1007/s10956-014-9538-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925463202&doi=10.1007%2fs10956-014-9538-0&partnerID=40&md5=205b6ed42e532aff2c779acf359479d7,Everyday energy use; Global climate change; Mechanisms; Models; Virtual investigations,,Scopus
"Fernández-Manzanal R., Serra L.M., Morales M.J., Carrasquer J., Rodríguez-Barreiro L.M., Del Valle J., Murillo M.B.",Environmental behaviours in initial professional development and their relationship with university education,2015,Journal of Cleaner Production,108,830,840,10.1016/j.jclepro.2015.07.153,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956648025&doi=10.1016%2fj.jclepro.2015.07.153&partnerID=40&md5=4ae663ecbb5656d2f92f1f7b6913006b,Environmental behaviour; Higher education; Standardized interviews; Sustainable development,Curricula; Education; Employment; Environmental management; Felt; Planning; Environmental attitudes; Environmental behaviour; Environmental projects; Higher education; Initial professional development; Organisational structure; Semi structured interviews; Standardized interviews; Sustainable development,Scopus
"Bofferding L., Kloser M.",Middle and high school students’ conceptions of climate change mitigation and adaptation strategies,2015,Environmental Education Research,21,275,294,10.1080/13504622.2014.888401,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921437243&doi=10.1080%2f13504622.2014.888401&partnerID=40&md5=1c2084ea5d75415fa656bd5a4fb0398f,adaptation; climate change education; high school; middle school; misconceptions; mitigation,,Scopus
"Monroe M.C., Plate R.R., Adams D.C., Wojcik D.J.",Harnessing homophily to improve climate change education,2015,Environmental Education Research,21,221,238,10.1080/13504622.2014.910497,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921436544&doi=10.1080%2f13504622.2014.910497&partnerID=40&md5=71927274e38dd044728e2d93fb52a016,assessment; audience analysis; capacity building; climate change; professional development,,Scopus
"Webb P.T., Gulson K.N.",Policy scientificity 3.0: theory and policy analysis in-and-for this world and other-worlds,2015,Critical Studies in Education,56,161,174,10.1080/17508487.2014.949812,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027927822&doi=10.1080%2f17508487.2014.949812&partnerID=40&md5=9718cfd8e37342485f4280ddae644612,critical; education policy; post-structuralism; theory,,Scopus
