Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
Herman B.C.,55540950400;,The Influence of Global Warming Science Views and Sociocultural Factors on Willingness to Mitigate Global Warming,2015,Science Education,99,1,,1,38,,40,10.1002/sce.21136,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919680260&doi=10.1002%2fsce.21136&partnerID=40&md5=b204e890f26458bcae1656bd6374411c,"Department of Teaching and Learning, University of South Florida, Tampa, FL  33620-5650, United States","Herman, B.C., Department of Teaching and Learning, University of South Florida, Tampa, FL  33620-5650, United States","The science education field readily recognizes that perceptions about science's claims and nature influence socioscientific decision making. However, sociocultural factors may overshadow these perceptions when people are forced to make personally impacting choices contextualized within actual socioscientific issues. This investigation determined 324 secondary students' perceptions about global warming (GW) science and willingness to mitigate GW across five categories of actions-each requiring varying levels of personal sacrifice (e.g., supporting GW education versus limiting personal reproduction). Identified sociocultural indicators among the students included ethnicity, gender, and socioeconomic classification. Results indicate that GW science views and sociocultural factors became less impactful on the participants' willingness to mitigate GW as the GW-mitigating actions required greater personal involvement and sacrifice. However, most consistently significantly predicting willingness to mitigate GW was the participants' perceptions about the validity of GW science claims. Furthermore, while the participants' perceptions about the nature of GW science methods significantly influenced their willingness to enact certain GW-mitigating actions, socioeconomic classification and ethnicity were oftentimes stronger indicators of the participants' inclination to mitigate GW. Implications for education discussed include promoting responsible socioscientific decision making through contextually teaching about how and why GW science is valid while also considering how sociocultural factors can impact socioscientific choices. © 2014 Wiley Periodicals, Inc.",,,,,,,"National Science Foundation, NSF: 1043323",,,,"Herman, B.C.; Department of Teaching and Learning, United States",,,Wiley-Liss Inc.,,,,,368326,,,,English,Sci. Educ.,Article,Final,,Scopus,2-s2.0-84919680260
"Capstick S., Whitmarsh L., Poortinga W., Pidgeon N., Upham P.",55882901400;24177490000;6603479134;6701534396;8327141400;,International trends in public perceptions of climate change over the past quarter century,2015,Wiley Interdisciplinary Reviews: Climate Change,6,1,,35,61,,234,10.1002/wcc.321,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84914817669&doi=10.1002%2fwcc.321&partnerID=40&md5=1e1b957786ad914b12720275d3a1a49c,"School of Psychology, Cardiff University, Cardiff, United Kingdom; Tyndall Centre for Climate Change Research, United Kingdom; Climate Change Consortium of Wales, United Kingdom; Centre for Integrated Energy Research, University of Leeds, Leeds, United Kingdom","Capstick, S., School of Psychology, Cardiff University, Cardiff, United Kingdom, Tyndall Centre for Climate Change Research, United Kingdom, Climate Change Consortium of Wales, United Kingdom; Whitmarsh, L., School of Psychology, Cardiff University, Cardiff, United Kingdom, Tyndall Centre for Climate Change Research, United Kingdom; Poortinga, W., School of Psychology, Cardiff University, Cardiff, United Kingdom, Tyndall Centre for Climate Change Research, United Kingdom; Pidgeon, N., School of Psychology, Cardiff University, Cardiff, United Kingdom, Tyndall Centre for Climate Change Research, United Kingdom, Climate Change Consortium of Wales, United Kingdom; Upham, P., Tyndall Centre for Climate Change Research, United Kingdom, Centre for Integrated Energy Research, University of Leeds, Leeds, United Kingdom","Public perceptions of climate change are known to differ between nations and to have fluctuated over time. Numerous plausible characterizations of these variations, and explanations for them, are to be found in the literature. However, a clear picture has not yet emerged as to the principal trends and patterns that have occurred over the past quarter-century or the factors behind these changes. This systematic review considers previous empirical research that has addressed the temporal aspects to public perceptions. We address findings that have been obtained since the 1980s and using a range of methodologies. In this review, we consider early, seminal work examining public perceptions; survey studies carried out over long timescales and at an international scale, detailed statistical analyses of the drivers of changing perceptions; and qualitative research featuring a longitudinal component. Studies point to growing skepticism in the latter 2000s in some developed countries, underpinned by economic and sociopolitical factors. Even so, in many parts of the world, there has been growing concern about climate change in recent years. We conclude that the imbalance in the literature toward polling data, and toward studies of public perceptions in Western nations (particularly the United States), leaves much unknown about the progression of public understanding of climate change worldwide. More research is required that uses inferential statistical procedures to understand the reasons behind trends in public perceptions. The application of qualitative longitudinal methodologies also offers the potential for better appreciation of the cultural contexts in which climate change perceptions are evolving. WIREs Clim Change 2015, 6:35-61. doi: 10.1002/wcc.321 For further resources related to this article, please visit the WIREs website. Conflict of interest: The authors have declared no conflicts of interest for this article. © 2015 John Wiley & Sons, Ltd. 6 1 January/February 2015 10.1002/wcc.321 Overview Overviews © 2014 The Authors. WIREs Climate Change published by John Wiley & Sons, Ltd..",,Statistical methods; Conflict of interest; Conflicts of interest; Developed countries; Empirical research; International scale; Longitudinal components; Public understanding; Qualitative research; Climate change,,,,,"Economic and Social Research Council, ESRC: ES/F035888/1, ES/F037511/1, not_applicable",,,,"Capstick, S.; School of Psychology, United Kingdom",,,Wiley-Blackwell,,,,,17577780,,,,English,Wiley Interdiscip Rev. Clim. Change,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-84914817669
"Van Poeck K., Vandenabeele J., Bruyninckx H.",55293334300;16553641800;10040876700;,Taking stock of the UN Decade of education for sustainable development: the policy-making process in Flanders,2014,Environmental Education Research,20,5,,695,717,,20,10.1080/13504622.2013.836622,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926196733&doi=10.1080%2f13504622.2013.836622&partnerID=40&md5=776459af12db1b2ddf163bfa53e68ba2,"Laboratory of Education and Society, University of Leuven, Leuven, Belgium; HIVA Research Institute, University of Leuven, Leuven, Belgium","Van Poeck, K., Laboratory of Education and Society, University of Leuven, Leuven, Belgium; Vandenabeele, J., Laboratory of Education and Society, University of Leuven, Leuven, Belgium; Bruyninckx, H., HIVA Research Institute, University of Leuven, Leuven, Belgium","In this paper, we address the implementation of the UN Decade of Education for Sustainable Development (ESD) in Flanders, a sub-national entity of Belgium. Our analysis shows how the policy-making process in Flanders is inextricably intertwined with three developments in environmental and educational policy: the increasing impact of ESD policy and discourse on environmental education, the framing of social and political problems as learning problems, and ecological modernisation. These trends give shape to a post-ecologist and post-political policy regime and, thus, affect what is possible and acceptable within Flemish ESD policy. However, this case study also revealed that these developments do not completely determine ESD policy-making in Flanders. Our examination thus allowed us to understand how the actual policy translation in a particular local setting brings about powers that legitimise and maintain as well as counteract the bounds of the policy regime that emerged in the context of the UN Decade. © 2013, © 2013 Taylor & Francis.",ecological modernisation; education for sustainable development; ESD; governmentalisation; policy-making; UN Decade of ESD,,,,,,,,,,"Van Poeck, K.; Laboratory of Education and Society, Belgium",,,Routledge,,,,,13504622,,,,English,Environ. Educ. Res.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-84926196733
"Otieno C., Spada H., Liebler K., Ludemann T., Deil U., Renkl A.",55365847100;6601972843;55855898300;8202616300;11939306000;7003841687;,"Informing about climate change and invasive species: how the presentation of information affects perception of risk, emotions, and learning",2014,Environmental Education Research,20,5,,612,638,,19,10.1080/13504622.2013.833589,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926153929&doi=10.1080%2f13504622.2013.833589&partnerID=40&md5=1f5166cefe668a177f8ab78bd38f5c2b,"Department of Psychology, University of Freiburg, Freiburg, Germany; Faculty of Biology, University of Freiburg, Freiburg, Germany","Otieno, C., Department of Psychology, University of Freiburg, Freiburg, Germany; Spada, H., Department of Psychology, University of Freiburg, Freiburg, Germany; Liebler, K., Department of Psychology, University of Freiburg, Freiburg, Germany; Ludemann, T., Faculty of Biology, University of Freiburg, Freiburg, Germany; Deil, U., Faculty of Biology, University of Freiburg, Freiburg, Germany; Renkl, A., Department of Psychology, University of Freiburg, Freiburg, Germany","Environmental issues such as climate change are becoming ever more important in today’s societies and politics. Information is spread by the media, for example, via the Internet or information brochures, employing different representational styles (e.g. sensational vs. neutral styles, emphasis of human vs. natural causes). We investigated the effects of such differences in presentation when informing about local impacts of climate change – more specifically about invasive species – on perceived risk, emotions, and learning. Seventy-two students at a German university read five brochures about the local effects of climate change and invasive species. They rated their perceived risk and emotions and worked on learning outcome tests. As expected, the sensational style led to higher perceived risk and stronger negative emotions than the neutral style. In addition, our results reveal a potential dilemma for environmental education: while a sensational style enhanced general learning outcomes, it seemed to lead to quite a negative and one-sided view about climate change and invasive species. © 2013, © 2013 Taylor & Francis.",climate change communication; emotions; environmental education; invasive species; perception of risk,,,,,,"Ministerium für Wissenschaft, Forschung und Kunst Baden-Württemberg, MWK: 33-720.281/34","We would like to thank Rolf Schwonke for his methodological assistance in mediation analysis and Anna Sartori for her assistance in rating the open questions. This work was supported by the Ministry of Science, Research, and the Arts of Baden-Württemberg, Germany [Grant Number 33-720.281/34].",,,"Otieno, C.; Department of Psychology, Germany",,,Routledge,,,,,13504622,,,,English,Environ. Educ. Res.,Article,Final,,Scopus,2-s2.0-84926153929
"Pipere A., Mičule I.",26967961900;57210257472;,Mathematical identity for a sustainable future: An interpretative phenomenological analysis,2014,Journal of Teacher Education for Sustainability,16,1,,5,31,,10,10.2478/jtes-2014-0001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908022250&doi=10.2478%2fjtes-2014-0001&partnerID=40&md5=19f353a6f48ff2fbe8887dd1d3c0ea98,"Institute of Sustainable Education, Daugavpils University, 1 Para'des Street 432, Daugavpils, LV-5401, Latvia","Pipere, A., Institute of Sustainable Education, Daugavpils University, 1 Para'des Street 432, Daugavpils, LV-5401, Latvia; Mičule, I., Institute of Sustainable Education, Daugavpils University, 1 Para'des Street 432, Daugavpils, LV-5401, Latvia","Individual in-depth, semi-structured interviews with three mathematics teachers were conducted to investigate the dynamics of their life-long relationships with mathematics, synthesised as mathematical identity from different identity positions in the context of dialogical self. The qualitative data were scrutinised employing interpretive phenomenological analysis that displayed mostly positive instrumental relationships with mathematics and explicit connections between the teachers' life experiences and their disctinct identity voices that surfaced in interviews. Similarly, teachers appeared to be experts in different professional spheres: pedagogy, subject or didactics. The teachers' accounts contain various models of relationships between the other-motive and the self-motive as reflected in their pedagogical approaches. Emergent patterns resulting from the interaction of the teachers' mathematical identity and their perception of students' mathematical philia/phobia included the humanistic approach with an instrumental interpretation of mathematics and its teaching methods, self-actualisation in achieving success in mathematics through hard work and the issue of attribution of failure in mathematics either to external or internal factors. Moreover, these dialogical models and interactive patterns show alignement with one of the core competences for educators in education for sustainable development, that is, achieving transformation in what it means to be an educator, in teaching and learning, as well as in the entire education system. Practical implementation of findings and limitations of the study are outlined along with venues for future research.",Competences for educators in education for sustainable development; Dialogical self; Interpretative phenomenological analysis; Mathematical identity; Mathematics teachers; Social constructionism,,,,,,,,,,"Pipere, A.; Institute of Sustainable Education, 1 Para'des Street 432, Latvia",,,Sciendo,,,,,16914147,,,,English,J. Teach. Educ. Sustainability,Article,Final,,Scopus,2-s2.0-84908022250
"Boyes E., Stanisstreet M., Skamp K., Rodriguez M., Malandrakis G., Fortner R.W., Kilinc A., Taylor N., Chhokar K., Dua S., Ambusaidi A., Cheong I.P.-A., Kim M., Yoon H.-G.",18338544000;57197397883;6507511644;57197401985;15053190100;6603783109;24379300500;7201546208;36023587400;49461185500;11440559200;35326591200;56124332100;35622887400;,An international study of the propensity of students to limit their use of private transport in light of their understanding of the causes of global warming,2014,International Research in Geographical and Environmental Education,23,2,,142,165,,16,10.1080/10382046.2014.891425,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899981641&doi=10.1080%2f10382046.2014.891425&partnerID=40&md5=f1bc2e607944b6d6411c17d7cb0426a0,"Department of Education, University of Liverpool, Liverpool, United Kingdom; Environmental Education Research Unit, University of Liverpool, Liverpool, United Kingdom; School of Education, Southern Cross University, Lismore, NSW, Australia; Developmental and Educational Psychology, Universidad Nacional de Educación a Distancia, Madrid, Spain; Department of Primary Education, University of Western Macedonia, Florina, Greece; School of Environment and Natural Resources, Ohio State University, Columbus, OH, United States; Department of Science Education, Abant Izzet Baysal University, Bolu, Turkey; School of Education, University of New England, Armidale, NSW, Australia; Centre for Environmental Education, Delhi, India; Department of Curriculum and Instruction, Sultan Qaboos University, Muscat, Oman; Sultan Hassanal Bolkiah Institute of Education, Universiti Brunei Darussalam, Brunei Darussalam; Department of Curriculum and Instruction, University of Victoria, VIC, Canada; Department of Science Education, Chuncheon National University of Education, Chuncheon-si, South Korea; Faculty of Education and Arts, Australian Catholic University, Brisbane, QLD, Australia","Boyes, E., Department of Education, University of Liverpool, Liverpool, United Kingdom; Stanisstreet, M., Environmental Education Research Unit, University of Liverpool, Liverpool, United Kingdom; Skamp, K., School of Education, Southern Cross University, Lismore, NSW, Australia; Rodriguez, M., Developmental and Educational Psychology, Universidad Nacional de Educación a Distancia, Madrid, Spain; Malandrakis, G., Department of Primary Education, University of Western Macedonia, Florina, Greece; Fortner, R.W., School of Environment and Natural Resources, Ohio State University, Columbus, OH, United States; Kilinc, A., Department of Science Education, Abant Izzet Baysal University, Bolu, Turkey; Taylor, N., School of Education, University of New England, Armidale, NSW, Australia; Chhokar, K., Centre for Environmental Education, Delhi, India; Dua, S., Centre for Environmental Education, Delhi, India; Ambusaidi, A., Department of Curriculum and Instruction, Sultan Qaboos University, Muscat, Oman; Cheong, I.P.-A., Sultan Hassanal Bolkiah Institute of Education, Universiti Brunei Darussalam, Brunei Darussalam, Faculty of Education and Arts, Australian Catholic University, Brisbane, QLD, Australia; Kim, M., Department of Curriculum and Instruction, University of Victoria, VIC, Canada; Yoon, H.-G., Department of Science Education, Chuncheon National University of Education, Chuncheon-si, South Korea","Previous studies have shown that there is what has been called a gap between environmental knowledge and a willingness to act in a pro-environmental manner. For the individual, this gap is probably the result of the huge complexity of factors that affect behaviour. The way in which this gap is sometimes identified in the literature, however, is also partly a function of the fact that much of the research in this area has compared environmental attitudes in general with a willingness to take actions that are specific. In the present study, we have circumvented this latter issue by exploring links between a declared willingness to undertake specific actions and the level of belief in the efficacy of those particular actions in reducing global warming. Here we report findings on actions concerning personal transport. Because the questionnaire was designed to provide quantitative measures, novel indices could be constructed that indicate, for example, the extent to which persuading people that an action is effective might increase their willingness to undertake it. Responses were obtained from students in 11 countries with different cultural mores. This enabled us to explore possible associations between a readiness to undertake specific actions and previously published socio-cultural indices. The implications for education about these issues are explored. © 2014 Taylor & Francis.",climate change; cultural differences; environmental action; environmental education; global warming; personal transport,environmental education; environmental management; environmental planning; global warming; perception; student; transportation mode,,,,,,,,,"Stanisstreet, M.; Environmental Education Research Unit, University of Liverpool, Liverpool, United Kingdom; email: martstan@liverpool.ac.uk",,,Channel View Publications,,,,,10382046,,,,English,Int. Res. Geogr. Environ. Educ.,Article,Final,,Scopus,2-s2.0-84899981641
Tyson R.V.,16481394000;,The merits of separating global warming from extension education sustainability programs,2014,Journal of Extension,52,1, 1COM3,,,,7,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894607758&partnerID=40&md5=81710bd58c05a2f3efd965038a9c19fd,"UF/IFAS Extension, Orange County, Orlando, FL, United States","Tyson, R.V., UF/IFAS Extension, Orange County, Orlando, FL, United States","Using the rhetoric of global warming to support the adoption of sustainable practices beneficial to society limits their adoption. Climate data are about to fall outside the models used to ""settle"" the global warming issue. Atmospheric carbon dioxide continues to increase, while temperature, since 1998, has decreased. The science is becoming unsettling. Is it time for Extension educators to reevaluate sustainability programming and de-emphasize climate and concentrate instead on the many other beneficial aspects of moving toward a more sustainable future at all levels of Extension programming-agriculture, natural resources, the environment, health, nutrition, and housing?. © 2014 Extension Journal Inc.",,,,,,,,,,,"Tyson, R.V.; UF/IFAS Extension, , Orlando, FL, United States; email: rvt@ufl.edu",,,,,,,,10775315,,,,English,J. Ext.,Article,Final,,Scopus,2-s2.0-84894607758
"Hankivsky O., Grace D., Hunting G., Giesbrecht M., Fridkin A., Rudrum S., Ferlatte O., Clark N.",18634410100;57203026329;56840754400;26436335900;35723648600;56580389000;56200150800;35731056100;,An intersectionality-based policy analysis framework: Critical reflections on a methodology for advancing equity,2014,International Journal for Equity in Health,13,1,119,,,,83,10.1186/s12939-014-0119-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965183581&doi=10.1186%2fs12939-014-0119-x&partnerID=40&md5=f256883cb1f291c66caa935b0f98c78d,"School of Public Policy, Simon Fraser University, Vancouver, British Columbia, BC, Canada; London School of Hygiene and Tropical Medicine, London, United Kingdom; Dalla Lana School of Public Health, University of Toronto, Toronto, ON, Canada; Institute for Intersectionality Research and Policy, Vancouver, BC, Canada; Geography, Simon Fraser University, Vancouver, BC, Canada; Interdisciplinary Studies Graduate Program, University of British Columbia (UBC), Vancouver, BC, Canada; Institute for Gender, Race, Sexuality and Social Justice, UBC, Vancouver, BC, Canada; Faculty of Health Sciences, Simon Fraser University, Vancouver, BC, Canada; School of Social Work, UBC, Vancouver, BC, Canada; School of Public Policy, Simon Fraser University, Vancouver, BC, Canada","Hankivsky, O., School of Public Policy, Simon Fraser University, Vancouver, British Columbia, BC, Canada; Grace, D., London School of Hygiene and Tropical Medicine, London, United Kingdom, Dalla Lana School of Public Health, University of Toronto, Toronto, ON, Canada; Hunting, G., Institute for Intersectionality Research and Policy, Vancouver, BC, Canada; Giesbrecht, M., Geography, Simon Fraser University, Vancouver, BC, Canada; Fridkin, A., Interdisciplinary Studies Graduate Program, University of British Columbia (UBC), Vancouver, BC, Canada; Rudrum, S., Institute for Gender, Race, Sexuality and Social Justice, UBC, Vancouver, BC, Canada; Ferlatte, O., Faculty of Health Sciences, Simon Fraser University, Vancouver, BC, Canada; Clark, N., School of Social Work, UBC, Vancouver, BC, Canada, School of Public Policy, Simon Fraser University, Vancouver, BC, Canada","Introduction: In the field of health, numerous frameworks have emerged that advance understandings of the differential impacts of health policies to produce inclusive and socially just health outcomes. In this paper, we present the development of an important contribution to these efforts - an Intersectionality-Based Policy Analysis (IBPA) Framework. Methods: Developed over the course of two years in consultation with key stakeholders and drawing on best and promising practices of other equity-informed approaches, this participatory and iterative IBPA Framework provides guidance and direction for researchers, civil society, public health professionals and policy actors seeking to address the challenges of health inequities across diverse populations. Importantly, we present the application of the IBPA Framework in seven priority health-related policy case studies. Results: The analysis of each case study is focused on explaining how IBPA: 1) provides an innovative structure for critical policy analysis; 2) captures the different dimensions of policy contexts including history, politics, everyday lived experiences, diverse knowledges and intersecting social locations; and 3) generates transformative insights, knowledge, policy solutions and actions that cannot be gleaned from other equity-focused policy frameworks. Conclusion: The aim of this paper is to inspire a range of policy actors to recognize the potential of IBPA to foreground the complex contexts of health and social problems, and ultimately to transform how policy analysis is undertaken. © 2014 Hankivsky et al.; licensee BioMed Central Ltd.",Equity; Health; Intersectionality; Policy analysis; Reflexivity,"civil society; conceptual framework; equity; health policy; policy analysis; public health; stakeholder; Article; case study; clinical practice; conceptual framework; consultation; health care policy; health equity; health practitioner; intersectionality based policy analysis framework; knowledge; medical history; methodology; personal experience; politics; population research; priority journal; public health problem; social aspect; social problem; Canada; Fetal Alcohol Spectrum Disorders; health care disparity; health disparity; health service; health services research; HIV Infections; human; indigenous health care; management; nonbiological model; organization and management; palliative therapy; procedures; serodiagnosis; standards; AIDS Serodiagnosis; Canada; Fetal Alcohol Spectrum Disorders; Health Policy; Health Services, Indigenous; Health Status Disparities; Healthcare Disparities; HIV Infections; Humans; Maternal Health Services; Models, Organizational; Organizational Case Studies; Palliative Care; Policy Making",,,,,"Canadian Institutes of Health Research, CIHR

Michael Smith Foundation for Health Research, MSFHR",This research was supported by the Canadian Institutes of Health Research and the Michael Smith Foundation for Health Research.,,,"Hankivsky, O.; School of Public Policy, Canada; email: oah@sfu.ca",,,BioMed Central Ltd.,,,,,14759276,,,25492385,English,Int. J. Equity Health,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84965183581
"Stevenson K.T., Peterson M.N., Bondell H.D., Moore S.E., Carrier S.J.",55629773300;7402271586;18036851700;55129945000;36713063300;,Overcoming skepticism with education: interacting influences of worldview and climate change knowledge on perceived climate change risk among adolescents,2014,Climatic Change,126,3-Apr,,293,304,,106,10.1007/s10584-014-1228-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919877299&doi=10.1007%2fs10584-014-1228-7&partnerID=40&md5=a03ad75f241934bfe79482afaba2fc64,"Fisheries, Wildlife, and Conservation Biology Program, Department of Forestry & Environmental Resources, North Carolina State University, Raleigh, NC, United States; Department of Statistics, North Carolina State University, Raleigh, NC, United States; Department of Forestry & Environmental Resources, North Carolina State University, Raleigh, NC, United States; Department of Elementary Education, North Carolina State University, Raleigh, NC, United States","Stevenson, K.T., Fisheries, Wildlife, and Conservation Biology Program, Department of Forestry & Environmental Resources, North Carolina State University, Raleigh, NC, United States; Peterson, M.N., Fisheries, Wildlife, and Conservation Biology Program, Department of Forestry & Environmental Resources, North Carolina State University, Raleigh, NC, United States; Bondell, H.D., Department of Statistics, North Carolina State University, Raleigh, NC, United States; Moore, S.E., Department of Forestry & Environmental Resources, North Carolina State University, Raleigh, NC, United States; Carrier, S.J., Department of Elementary Education, North Carolina State University, Raleigh, NC, United States","Though many climate literacy efforts attempt to communicate climate change as a risk, these strategies may be ineffective because among adults, worldview rather than scientific understanding largely drives climate change risk perceptions. Further, increased science literacy may polarize worldview-driven perceptions, making some climate literacy efforts ineffective among skeptics. Because worldviews are still forming in the teenage years, adolescents may represent a more receptive audience. This study examined how worldview and climate change knowledge related to acceptance of anthropogenic global warming (AGW) and in turn, climate change risk perception among middle school students in North Carolina, USA (n = 387). We found respondents with individualistic worldviews were 16.1 percentage points less likely to accept AGW than communitarian respondents at median knowledge levels, mirroring findings in similar studies among adults. The interaction between knowledge and worldview, however, was opposite from previous studies among adults, because increased climate change knowledge was positively related to acceptance of AGW among both groups, and had a stronger positive relationship among individualists. Though individualists were 24.1 percentage points less likely to accept AGW than communitarians at low levels (bottom decile) of climate change knowledge, there was no statistical difference in acceptance levels between individualists and communitarians at high levels of knowledge (top decile). Non-White and females also demonstrated higher levels of AGW acceptance and climate change risk perception, respectively. Thus, education efforts specific to climate change may counteract divisions based on worldviews among adolescents. © 2014, Springer Science+Business Media Dordrecht.",,"Global warming; Anthropogenic global warming; Climate change risks; Knowledge level; Middle school students; North Carolina , USA; Percentage points; Science literacy; Statistical differences; Risk perception",,,,,,,,,"Stevenson, K.T.; Fisheries, Wildlife, and Conservation Biology Program, Department of Forestry & Environmental Resources, North Carolina State UniversityUnited States",,,Kluwer Academic Publishers,,,,,1650009,,CLCHD,,English,Clim. Change,Article,Final,"All Open Access, Green",Scopus,2-s2.0-84919877299
"Flora J.A., Saphir M., Lappé M., Roser-Renouf C., Maibach E.W., Leiserowitz A.A.",17934171000;6507492925;56396348700;25221634000;35902262500;6507236920;,Evaluation of a national high school entertainment education program: The Alliance for Climate Education,2014,Climatic Change,127,3-Apr,,419,434,,42,10.1007/s10584-014-1274-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911953279&doi=10.1007%2fs10584-014-1274-1&partnerID=40&md5=ce321323ca195f57cf796ee877d890e7,"Solutions Science Lab Department of Pediatrics and Human Sciences and Technologies Advanced Research Institute, Stanford University, 473 Via Ortega Way, Stanford, CA  94305, United States; Saphir Research Consulting, San Francisco, CA, United States; Alliance for Climate Education, Boulder, CO, United States; Center for Climate Change Communication, George Mason University, Fairfax, VA, United States; Yale Project on Climate Change Communication, Yale University, New Haven, CT, United States","Flora, J.A., Solutions Science Lab Department of Pediatrics and Human Sciences and Technologies Advanced Research Institute, Stanford University, 473 Via Ortega Way, Stanford, CA  94305, United States; Saphir, M., Saphir Research Consulting, San Francisco, CA, United States; Lappé, M., Alliance for Climate Education, Boulder, CO, United States; Roser-Renouf, C., Center for Climate Change Communication, George Mason University, Fairfax, VA, United States; Maibach, E.W., Center for Climate Change Communication, George Mason University, Fairfax, VA, United States; Leiserowitz, A.A., Yale Project on Climate Change Communication, Yale University, New Haven, CT, United States","Ever-increasing global warming has created a societal imperative to reach and engage youth, whose futures are at risk. In this paper, we evaluate the climate science knowledge, beliefs, attitudes, behavior and communication impact of an entertainment-education high school assembly program in a random sample of 49 schools (from population of 779 that received the intervention) and a panel of 1,241 students. Pre- and post-assembly surveys composed of questions from the Global Warming’s Six Americas segmentation and intervention-specific measures were administered in classrooms. We demonstrate that exposure to climate science in an engaging edutainment format changes youths’ knowledge, beliefs, involvement, and behavior positively and moves them to audience segments that are more engaged in the issue. The net impact of scaled, multi-sensory, captivating programs for youth could be a population shift in science-informed engagement in the issue of climate change. In addition, such programs can inspire youth for deeper engagement in school programs, personal action, and political and consumer advocacy. © 2014, Springer Science+Business Media Dordrecht.",,Education programs; High school; climate change; education; educational development; environmental issue; global warming; risk factor; science and technology; United States,,,,,,"Acknowledgments This evaluation was supported by Michael Haas and a grant from the Pisces Foundation. We acknowledge the teachers at the 49 schools that administered surveys for this study, and all the teachers who have worked with ACE to reach 1.8 million high school students since 2008. We also thank the three anonymous reviewers for their comments and suggestions.",,,"Flora, J.A.; Solutions Science Lab Department of Pediatrics and Human Sciences and Technologies Advanced Research Institute, Stanford University, 473 Via Ortega Way, United States",,,Kluwer Academic Publishers,,,,,1650009,,CLCHD,,English,Clim. Change,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-84911953279
Wang T.H.,7405565081;,Implementation of Web-based argumentation in facilitating elementary school students to learn environmental issues,2014,Journal of Computer Assisted Learning,30,5,,479,496,,12,10.1111/jcal.12061,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908492483&doi=10.1111%2fjcal.12061&partnerID=40&md5=b7cb87c79a50a632a30f8d318ec5e97a,"Department of Education and Learning Technology, National Hsinchu University of Education, Hsinchu City, Taiwan","Wang, T.H., Department of Education and Learning Technology, National Hsinchu University of Education, Hsinchu City, Taiwan","This research develops a Web-based argumentation system named the Web-based Interactive Argumentation System (WIAS). WIAS can provide teachers with the scaffolding for argumentation instruction. Students can propose their statements, collect supporting evidence and share and discuss with peers online. This research adopts a quasi-experimental design, applying WIAS to the teaching of environmental issues, including mudslides, global warming and nuclear power. Fifty-seven elementary school fifth graders from two classes participated in this research. With each class as a unit, they were divided into the WIAS group (n=30) and the traditional argumentation instruction (TAI) group (n=27). Before research, all students took the pre-test of the 'achievement test for environmental issues (ATEI)' and the 'environmental literacy scale (ELS).' Then all students received argumentation training and six classes of argumentation instruction. Students in the WIAS group performed argumentation in the WIAS, while those in the TAI group performed argumentation in a traditional classroom. After the six-class argumentation instruction, all students took the post-test of the ATEI and ELS. The results show that students in the WIAS group have significantly better learning effectiveness than those in the TAI group. Students in the WIAS group also exhibited significantly better improvement in their environmental literacy. © 2014 John Wiley & Sons Ltd.",E-Learning; Environmental education; Web-based argumentation,,,,,,,,,,"Wang, T.H.; Department of Education and Learning Technology, National Hsinchu University of EducationTaiwan",,,Blackwell Publishing Ltd,,,,,2664909,,,,English,J. Comput. Assisted Learn.,Article,Final,,Scopus,2-s2.0-84908492483
